accession_id,breed_name
AY567744.1,English Springer Spaniel
AY123456.1,Labrador Retriever
AY654321.1,German Shepherd
AY111111.1,Golden Retriever
AY222222.1,Bulldog
AY333333.1,Beagle
AY444444.1,Poodle
AY555555.1,Rottweiler
AY666666.1,Yorkshire Terrier
AY777777.1,Dachshund
AY888888.1,Siberian Husky
AY999999.1,Boxer
AY101010.1,Doberman Pinscher
AY121212.1,Shih Tzu
AY131313.1,Great Dane
AY141414.1,Pembroke Welsh Corgi
AY151515.1,Miniature Schnauzer
AY161616.1,Australian Shepherd
AY171717.1,Chihuahua
AY181818.1,Boston Terrier
AY191919.1,Maltese
AY202020.1,Pomeranian
AY212121.1,Bernese Mountain Dog
MW916042.1,Golden Retriever

